ID,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000017776,0.083683587,5.1673571,0.467907846,0.493951235,0.767034811
ENSMUSG00000021023,0.099093395,2.728968317,0.467829921,0.493987204,0.767034811
ENSMUSG00000027300,0.130545246,1.654429492,0.467526714,0.494127202,0.767188919
ENSMUSG00000069554,0.191264121,0.490612102,0.467407578,0.494182227,0.767211082
ENSMUSG00000109887,-0.118037602,3.05425116,0.467307948,0.494228252,0.76721927
ENSMUSG00000021936,0.098271985,3.342053445,0.467217958,0.49426983,0.767220553
ENSMUSG00000078653,0.261243875,-0.712509649,0.467075352,0.494335729,0.767227848
ENSMUSG00000097080,0.293206751,-0.850724398,0.467031422,0.494356032,0.767227848
ENSMUSG00000063354,-0.099726204,4.500714257,0.466730814,0.494495004,0.767254748
ENSMUSG00000006058,0.089641527,3.506254252,0.466551777,0.494577804,0.767254748
ENSMUSG00000112311,-0.377199332,-1.944991953,0.466361559,0.494665801,0.767254748
ENSMUSG00000029406,-0.132068867,3.056643393,0.466293867,0.494697122,0.767254748
ENSMUSG00000107733,0.206681213,-0.313185106,0.466291176,0.494698368,0.767254748
ENSMUSG00000021823,0.118987031,3.827022408,0.466240499,0.494721818,0.767254748
ENSMUSG00000027082,-0.148410114,1.477201883,0.46593705,0.494862278,0.767254748
ENSMUSG00000082072,0.136233529,1.417238493,0.465923621,0.494868495,0.767254748
ENSMUSG00000030970,-0.223752209,0.101150009,0.465786817,0.494931842,0.767254748
ENSMUSG00000026895,0.096531228,3.979930508,0.465700054,0.494972024,0.767254748
ENSMUSG00000069267,0.159236274,2.082993418,0.465689566,0.494976882,0.767254748
ENSMUSG00000099708,-0.32132039,-1.60264454,0.465640915,0.494999417,0.767254748
ENSMUSG00000095600,-0.170393297,0.673307162,0.465456851,0.495084688,0.767254748
ENSMUSG00000024392,0.088303653,4.430287306,0.465377327,0.495121537,0.767254748
ENSMUSG00000103313,0.246113859,0.478751589,0.465360058,0.495129539,0.767254748
ENSMUSG00000005779,0.105538621,5.437528483,0.465343959,0.495137,0.767254748
ENSMUSG00000037126,0.306601137,-1.321599146,0.465116174,0.495242579,0.767254748
ENSMUSG00000021510,0.104749453,2.934181929,0.465058678,0.495269234,0.767254748
ENSMUSG00000028496,-0.22604993,0.173837724,0.465037558,0.495279026,0.767254748
ENSMUSG00000033182,0.375189144,-1.783243805,0.465017579,0.49528829,0.767254748
ENSMUSG00000062981,0.098327888,3.211847558,0.464945741,0.4953216,0.767254748
ENSMUSG00000097093,-0.245334904,-1.037702163,0.464906413,0.495339837,0.767254748
ENSMUSG00000105696,-0.321433641,1.683396146,0.464874938,0.495354434,0.767254748
ENSMUSG00000031708,-0.110925864,4.997695136,0.464775115,0.495400732,0.767254748
ENSMUSG00000106129,-0.321434232,1.683910191,0.464766537,0.49540471,0.767254748
ENSMUSG00000064347,-0.341624415,-1.361667215,0.464705678,0.495432941,0.767254748
ENSMUSG00000026109,0.446894407,-2.194031624,0.463958654,0.495779679,0.767728575
ENSMUSG00000081695,-0.101049163,3.974489845,0.463735842,0.495883178,0.767825693
ENSMUSG00000011154,0.326741971,-0.425149743,0.463586179,0.49595272,0.767870218
ENSMUSG00000107795,-0.420244211,-2.016457322,0.463226791,0.496119777,0.76803642
ENSMUSG00000111890,0.181350514,1.333432337,0.463159566,0.496151036,0.76803642
ENSMUSG00000092903,-0.19118288,0.491760164,0.463034748,0.496209084,0.76803642
ENSMUSG00000064994,-0.267745887,3.418370396,0.463004306,0.496223244,0.76803642
ENSMUSG00000047090,-0.266105676,-0.395477617,0.462842904,0.496298327,0.768089486
ENSMUSG00000047181,-0.23021951,-0.7835599,0.462630466,0.496397181,0.768100605
ENSMUSG00000020385,-0.107996527,3.307535241,0.462518132,0.496449466,0.768100605
ENSMUSG00000031360,-0.172212963,1.809051151,0.462495288,0.4964601,0.768100605
ENSMUSG00000003526,-0.137695635,6.103590477,0.462400046,0.496504439,0.768100605
ENSMUSG00000040731,0.084360458,6.177512568,0.462389176,0.496509501,0.768100605
ENSMUSG00000027454,0.221211259,-0.259628482,0.462132,0.496629262,0.768190122
ENSMUSG00000022744,0.115798607,2.525070058,0.462039741,0.496672237,0.768190122
ENSMUSG00000084315,0.211228962,2.385181519,0.4620021,0.496689773,0.768190122
ENSMUSG00000025532,-0.122552682,3.185110702,0.461792419,0.496787473,0.768241294
ENSMUSG00000035045,-0.14292709,1.094489171,0.461755949,0.49680447,0.768241294
ENSMUSG00000082127,0.110407438,3.255332844,0.461423125,0.496959624,0.768355887
ENSMUSG00000072872,-0.091055651,2.953692776,0.461421895,0.496960197,0.768355887
ENSMUSG00000004054,-0.09620799,3.777815911,0.460848234,0.497227817,0.768638307
ENSMUSG00000081436,0.236406081,-0.661620543,0.460787223,0.497256293,0.768638307
ENSMUSG00000020272,-0.145575404,1.226507085,0.460667129,0.497312354,0.768638307
ENSMUSG00000025347,-0.127058893,7.746180557,0.46063315,0.497328218,0.768638307
ENSMUSG00000029469,-0.204368792,-0.198216394,0.460590581,0.497348093,0.768638307
ENSMUSG00000028367,0.117102556,5.012548019,0.460447231,0.497415033,0.768638307
ENSMUSG00000104601,-0.265556825,-1.530205191,0.460418082,0.497428647,0.768638307
ENSMUSG00000033032,0.166838996,0.771509767,0.459825071,0.497705738,0.769003359
ENSMUSG00000037995,-0.207632362,0.618806241,0.459565417,0.497827146,0.769127826
ENSMUSG00000039163,-0.122472884,1.748455915,0.45925492,0.497972393,0.769282239
ENSMUSG00000022193,0.099275595,4.350442478,0.459161018,0.498016334,0.769282239
ENSMUSG00000110156,0.2323911,-0.317982204,0.459038652,0.498073604,0.769282239
ENSMUSG00000103502,-0.285719931,-1.161183104,0.458947828,0.498116118,0.769282239
ENSMUSG00000092457,-0.137314006,1.587746385,0.458915195,0.498131395,0.769282239
ENSMUSG00000031119,0.094766345,3.558571774,0.458728195,0.498218953,0.769347485
ENSMUSG00000019927,0.178182082,0.403869599,0.458650432,0.498255372,0.769347485
ENSMUSG00000034342,0.119796403,2.7501353,0.458474635,0.498337719,0.769411533
ENSMUSG00000024446,-0.134568341,0.837800089,0.45797853,0.498570228,0.769473302
ENSMUSG00000104164,0.248351348,-1.077136071,0.457949796,0.498583701,0.769473302
ENSMUSG00000017754,-0.250591958,2.002992969,0.45793108,0.498592476,0.769473302
ENSMUSG00000045287,-0.183510126,1.387987438,0.457925639,0.498595027,0.769473302
ENSMUSG00000108178,0.112680588,3.592997356,0.457879473,0.498616675,0.769473302
ENSMUSG00000024862,-0.141788363,1.289639502,0.457796842,0.498655426,0.769473302
ENSMUSG00000051065,0.107714187,3.381974447,0.45771895,0.498691959,0.769473302
ENSMUSG00000020271,0.086263445,4.223997628,0.457691804,0.498704692,0.769473302
ENSMUSG00000079297,-0.096692978,4.461390241,0.457420437,0.498832009,0.769606674
ENSMUSG00000105509,-0.246542574,-0.436472653,0.457084456,0.498989718,0.76972105
ENSMUSG00000071350,0.204412688,3.080150933,0.457002739,0.499028089,0.76972105
ENSMUSG00000044770,-0.215710034,-0.312447733,0.456932124,0.49906125,0.76972105
ENSMUSG00000025041,0.131842294,2.273405159,0.456831474,0.499108523,0.76972105
ENSMUSG00000031672,-0.097811245,7.460621232,0.45682713,0.499110563,0.76972105
ENSMUSG00000105818,-0.358758552,-1.814033627,0.456559817,0.499236151,0.769735207
ENSMUSG00000026304,-0.112664268,2.413140761,0.456475587,0.499275735,0.769735207
