"","C1","C2","C3","C4","C5","R2","R3","R4","R5"
"ENSMUSG00000093363",0.2120979,0.4050842,0.2408989,0.1571033,0.2250939,0.2781633,0.3206354,0.3892878,0.3472117
"ENSMUSG00000093385",6.044051,5.661776,5.662479,6.638275,6.308334,5.236904,5.61868,7.15381,6.496479
"ENSMUSG00000093402",7.735385,5.452885,5.013068,5.373838,5.905994,4.733038,4.76662,5.374657,6.208189
"ENSMUSG00000093404",0.1734927,0.2181966,0.227606,0.2327024,0.1449525,0.195409,0.3146182,0.2161149,0.198781
"ENSMUSG00000093405",0.3535563,0.3555275,0.3192946,0.3031271,0.3479126,0.3413662,0.3621308,0.2870364,0.4646106
"ENSMUSG00000093416",0.3686916,0.5825696,0.4555102,0.372024,0.3996523,0.4202463,0.4291447,0.3797524,0.4157585
"ENSMUSG00000093437",2.660774,2.432878,2.773,3.089403,2.846035,2.640607,3.29332,2.575548,2.745299
"ENSMUSG00000093484",2.776857,2.54236,2.878354,3.205693,3.439903,2.614829,2.472254,2.563263,2.479082
"ENSMUSG00000093485",1.136333,1.242146,0.7837852,0.9617224,0.7106789,1.112541,1.039293,0.8181079,0.7419634
"ENSMUSG00000093489",1.485581,1.786882,1.60004,1.530987,1.62804,1.168113,1.112149,1.808136,1.743264
"ENSMUSG00000093535",0.6388383,0.5423888,0.6733901,0.5581197,0.5872496,0.732614,0.4610656,0.6449097,0.5386742
"ENSMUSG00000093541",2.231132,1.906244,2.136091,2.399587,2.555721,2.332049,2.467872,1.713094,2.458552
"ENSMUSG00000093545",0.359577,0.2967418,0.2799749,0.1911685,0.181933,0.1963857,0.3570616,0.2900992,0.2737179
"ENSMUSG00000093548",3.430368,2.848041,2.685847,3.713425,3.336311,2.761498,2.870488,3.028985,3.484956
"ENSMUSG00000093552",0.6880266,0.4816926,0.5509321,0.5192988,0.696371,0.6034856,0.6541659,0.4619268,0.6099446
"ENSMUSG00000093553",0.1537174,0.3567875,0.1523098,0.1363112,0.199487,0.2235582,0.3136408,0.3877268,0.4138565
"ENSMUSG00000093565",0.3421791,0.4795714,0.4163596,0.4234675,0.6836012,0.4635257,0.3040074,0.3229901,0.4515269
"ENSMUSG00000093577",1.542684,2.637999,2.677965,1.322778,1.619182,2.217156,3.34519,2.942551,2.992455
"ENSMUSG00000093587",0.1974101,0.1640518,0.163306,0.1161948,0.2035086,0.1107813,0.1131618,0.3055525,0.1194701
"ENSMUSG00000093606",0.4096742,0.6465003,0.5771825,0.4884409,0.5699523,0.5500269,0.5978206,0.5118574,0.6654109
"ENSMUSG00000093610",15.59868,5.44663,6.404854,18.26188,15.34528,6.653922,4.33721,5.117811,13.67942
"ENSMUSG00000093617",0.1995063,0.04807111,0.09848425,0.07154436,0.1345462,0.08662859,0.03064673,0.187979,0.2974969
"ENSMUSG00000093625",1.827989,1.166836,1.56378,2.220153,1.951755,1.532777,1.506438,1.560298,2.055743
"ENSMUSG00000093650",0.7600478,0.9212561,0.8998749,0.9355699,0.8531284,1.004483,1.102753,1.103676,0.7828447
"ENSMUSG00000093651",12.19465,2.283723,1.706553,8.680324,12.68528,1.756739,0.9414863,1.838561,5.520959
"ENSMUSG00000093656",0.3248326,0.5414073,0.4801176,0.4472448,0.5020123,0.7873414,0.6152178,0.4711487,0.877728
"ENSMUSG00000093661",2.309367,2.257924,1.903444,1.596652,1.813955,2.180991,1.708188,1.86088,1.89544
"ENSMUSG00000093671",1.298013,1.240341,1.365561,1.39692,1.550983,1.285374,1.054055,1.217206,1.248208
